company,ticker,document_role,period,document_type,source_type,source_url,source_identifier,source_status,raw_sha256,raw_file_visible_in_clean_worktree,prior_runtime_audit_source_file_present,notes
Apple Inc.,AAPL,PLANNED_NEW_QUARTERLY,FY2025-Q2,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0000320193.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
Apple Inc.,AAPL,PLANNED_NEW_QUARTERLY,FY2025-Q3,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0000320193.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
NVIDIA Corporation,NVDA,PLANNED_NEW_ANNUAL,FY2023,ANNUAL,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001045810.json,,PLANNED_NOT_ACQUIRED,,False,False,"Resolve exact accession, primary document, report/filing dates, and SHA during NF-V2-17A3."
NVIDIA Corporation,NVDA,PLANNED_NEW_ANNUAL,FY2024,ANNUAL,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001045810.json,,PLANNED_NOT_ACQUIRED,,False,False,"Resolve exact accession, primary document, report/filing dates, and SHA during NF-V2-17A3."
NVIDIA Corporation,NVDA,PLANNED_NEW_QUARTERLY,FY2025-Q1,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001045810.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
NVIDIA Corporation,NVDA,PLANNED_NEW_QUARTERLY,FY2025-Q2,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001045810.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
NVIDIA Corporation,NVDA,PLANNED_NEW_QUARTERLY,FY2025-Q3,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001045810.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
JPMorgan Chase & Co.,JPM,PLANNED_NEW_ANNUAL,FY2023,ANNUAL,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0000019617.json,,PLANNED_NOT_ACQUIRED,,False,False,"Resolve exact accession, primary document, report/filing dates, and SHA during NF-V2-17A3."
JPMorgan Chase & Co.,JPM,PLANNED_NEW_ANNUAL,FY2024,ANNUAL,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0000019617.json,,PLANNED_NOT_ACQUIRED,,False,False,"Resolve exact accession, primary document, report/filing dates, and SHA during NF-V2-17A3."
JPMorgan Chase & Co.,JPM,PLANNED_NEW_QUARTERLY,FY2025-Q1,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0000019617.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
JPMorgan Chase & Co.,JPM,PLANNED_NEW_QUARTERLY,FY2025-Q2,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0000019617.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
JPMorgan Chase & Co.,JPM,PLANNED_NEW_QUARTERLY,FY2025-Q3,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0000019617.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
"Tesla, Inc.",TSLA,PLANNED_NEW_ANNUAL,FY2023,ANNUAL,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001318605.json,,PLANNED_NOT_ACQUIRED,,False,False,"Resolve exact accession, primary document, report/filing dates, and SHA during NF-V2-17A3."
"Tesla, Inc.",TSLA,PLANNED_NEW_ANNUAL,FY2024,ANNUAL,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001318605.json,,PLANNED_NOT_ACQUIRED,,False,False,"Resolve exact accession, primary document, report/filing dates, and SHA during NF-V2-17A3."
"Tesla, Inc.",TSLA,PLANNED_NEW_QUARTERLY,FY2025-Q1,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001318605.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
"Tesla, Inc.",TSLA,PLANNED_NEW_QUARTERLY,FY2025-Q2,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001318605.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
"Tesla, Inc.",TSLA,PLANNED_NEW_QUARTERLY,FY2025-Q3,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001318605.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
The Coca-Cola Company,KO,PLANNED_NEW_ANNUAL,FY2023,ANNUAL,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0000021344.json,,PLANNED_NOT_ACQUIRED,,False,False,"Resolve exact accession, primary document, report/filing dates, and SHA during NF-V2-17A3."
The Coca-Cola Company,KO,PLANNED_NEW_ANNUAL,FY2024,ANNUAL,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0000021344.json,,PLANNED_NOT_ACQUIRED,,False,False,"Resolve exact accession, primary document, report/filing dates, and SHA during NF-V2-17A3."
The Coca-Cola Company,KO,PLANNED_NEW_QUARTERLY,FY2025-Q1,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0000021344.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
The Coca-Cola Company,KO,PLANNED_NEW_QUARTERLY,FY2025-Q2,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0000021344.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
The Coca-Cola Company,KO,PLANNED_NEW_QUARTERLY,FY2025-Q3,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0000021344.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
Visa Inc.,V,PLANNED_NEW_ANNUAL,FY2023,ANNUAL,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001403161.json,,PLANNED_NOT_ACQUIRED,,False,False,"Resolve exact accession, primary document, report/filing dates, and SHA during NF-V2-17A3."
Visa Inc.,V,PLANNED_NEW_ANNUAL,FY2024,ANNUAL,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001403161.json,,PLANNED_NOT_ACQUIRED,,False,False,"Resolve exact accession, primary document, report/filing dates, and SHA during NF-V2-17A3."
Visa Inc.,V,PLANNED_NEW_QUARTERLY,FY2025-Q1,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001403161.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
Visa Inc.,V,PLANNED_NEW_QUARTERLY,FY2025-Q2,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001403161.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
Visa Inc.,V,PLANNED_NEW_QUARTERLY,FY2025-Q3,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001403161.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
Pfizer Inc.,PFE,PLANNED_NEW_ANNUAL,FY2023,ANNUAL,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0000078003.json,,PLANNED_NOT_ACQUIRED,,False,False,"Resolve exact accession, primary document, report/filing dates, and SHA during NF-V2-17A3."
Pfizer Inc.,PFE,PLANNED_NEW_ANNUAL,FY2025,ANNUAL,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0000078003.json,,PLANNED_NOT_ACQUIRED,,False,False,"Resolve exact accession, primary document, report/filing dates, and SHA during NF-V2-17A3."
Pfizer Inc.,PFE,PLANNED_NEW_QUARTERLY,FY2025-Q1,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0000078003.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
Pfizer Inc.,PFE,PLANNED_NEW_QUARTERLY,FY2025-Q2,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0000078003.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
Pfizer Inc.,PFE,PLANNED_NEW_QUARTERLY,FY2025-Q3,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0000078003.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
Alphabet Inc.,GOOGL,PLANNED_NEW_ANNUAL,FY2023,ANNUAL,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001652044.json,,PLANNED_NOT_ACQUIRED,,False,False,"Resolve exact accession, primary document, report/filing dates, and SHA during NF-V2-17A3."
Alphabet Inc.,GOOGL,PLANNED_NEW_ANNUAL,FY2024,ANNUAL,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001652044.json,,PLANNED_NOT_ACQUIRED,,False,False,"Resolve exact accession, primary document, report/filing dates, and SHA during NF-V2-17A3."
Alphabet Inc.,GOOGL,PLANNED_NEW_ANNUAL,FY2025,ANNUAL,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001652044.json,,PLANNED_NOT_ACQUIRED,,False,False,"Resolve exact accession, primary document, report/filing dates, and SHA during NF-V2-17A3."
Alphabet Inc.,GOOGL,PLANNED_NEW_QUARTERLY,FY2025-Q1,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001652044.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
Alphabet Inc.,GOOGL,PLANNED_NEW_QUARTERLY,FY2025-Q2,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001652044.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
Alphabet Inc.,GOOGL,PLANNED_NEW_QUARTERLY,FY2025-Q3,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001652044.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
"Amazon.com, Inc.",AMZN,PLANNED_NEW_ANNUAL,FY2023,ANNUAL,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001018724.json,,PLANNED_NOT_ACQUIRED,,False,False,"Resolve exact accession, primary document, report/filing dates, and SHA during NF-V2-17A3."
"Amazon.com, Inc.",AMZN,PLANNED_NEW_ANNUAL,FY2024,ANNUAL,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001018724.json,,PLANNED_NOT_ACQUIRED,,False,False,"Resolve exact accession, primary document, report/filing dates, and SHA during NF-V2-17A3."
"Amazon.com, Inc.",AMZN,PLANNED_NEW_ANNUAL,FY2025,ANNUAL,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001018724.json,,PLANNED_NOT_ACQUIRED,,False,False,"Resolve exact accession, primary document, report/filing dates, and SHA during NF-V2-17A3."
"Amazon.com, Inc.",AMZN,PLANNED_NEW_QUARTERLY,FY2025-Q1,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001018724.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
"Amazon.com, Inc.",AMZN,PLANNED_NEW_QUARTERLY,FY2025-Q2,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001018724.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
"Amazon.com, Inc.",AMZN,PLANNED_NEW_QUARTERLY,FY2025-Q3,QUARTERLY,SEC_EDGAR_SUBMISSIONS_INDEX,https://data.sec.gov/submissions/CIK0001018724.json,,PLANNED_NOT_ACQUIRED,,False,False,Use the actual 10-Q period end and filing date; Q4 is represented by annual 10-K.
